longitude,Z,,,,,,,,,,
degrees_east,m,,y_n*cos(2pi/360*x_n),y_n*sin(2pi/360*x_n),,Model 1,,y_n*cos(2*PI()*2/360*A3),y_n*sin(2*2*PI()/360*A3),,Model 2
0,5496.12,,5496.12,0,,5518.799994,,5496.12,0,,5510.520673
1,5512.98,,5512.140346,96.21476764,,5518.794552,,5509.621642,192.4002273,,5512.943416
2,5528.6396,,5525.271702,192.9467395,,5518.816938,,5515.172112,385.6584031,,5515.401117
3,5543,,5535.403511,290.0982055,,5518.867146,,5512.634866,579.4012719,,5517.890801
4,5555.9,,5542.366107,387.5599925,,5518.945162,,5501.830363,773.2318316,,5520.409481
5,5567.34,,5546.15459,485.2256528,,5519.05096,,5482.759596,966.7584455,,5522.954161
6,5577.5,,5546.945871,583.0075039,,5519.184509,,5455.618243,1159.627456,,5525.521836
7,5586.36,,5544.72012,680.8060252,,5519.345768,,5420.421233,1351.462801,,5528.1095
8,5593.7397,,5539.30181,778.4981,,5519.534688,,5377.047711,1541.84362,,5530.714148
9,5599.78,,5530.837416,875.9985886,,5519.751212,,5325.707259,1730.427185,,5533.332779
10,5604.86,,5519.709583,973.2737251,,5519.995273,,5266.845583,1916.975021,,5535.9624
11,5609.36,,5506.300258,1070.316346,,5520.266798,,5200.908026,2101.303241,,5538.600031
12,5613.1997,,5490.537819,1167.049841,,5520.565702,,5127.913089,2283.094003,,5541.242706
13,5616.32,,5472.374082,1263.397106,,5520.891897,,5047.914978,2462.032639,,5543.887479
14,5618.96,,5452.052874,1359.349454,,5521.245281,,4961.247206,2637.941932,,5546.531425
15,5621.1797,,5429.642646,1454.868362,,5521.625748,,4868.084419,2810.58985,,5549.171647
16,5622.76,,5404.943813,1549.842699,,5522.033181,,4768.370913,2979.608842,,5551.805274
17,5623.6597,,5377.932517,1644.198973,,5522.467456,,4662.225187,3144.710596,,5554.429472
18,5624.1997,,5348.931774,1737.973287,,5522.928442,,4550.073137,3305.82164,,5557.041438
19,5624.9,,5318.447436,1831.288312,,5523.415997,,4432.481688,3463.034233,,5559.638413
20,5625.78,,5286.503952,1924.130082,,5523.929974,,4309.597507,3616.181679,,5562.217677
21,5626.62,,5252.902299,2016.400272,,5524.470215,,4181.393538,3764.943652,,5564.776559
22,5627.34,,5217.578792,2108.038667,,5525.036556,,4047.969632,3909.078834,,5567.312433
23,5628,,5180.601315,2199.034791,,5525.628825,,3909.537309,4048.444396,,5569.822729
24,5628.82,,5142.182943,2289.447351,,5526.246841,,3766.41574,4183.028457,,5572.304928
25,5630.04,,5102.549093,2379.357718,,5526.890416,,3618.919954,4312.860857,,5574.756571
26,5631.82,,5061.846286,2468.827392,,5527.559353,,3467.29461,4437.934722,,5577.17526
27,5634.1,,5020.019858,2557.827875,,5528.25345,,3311.64089,4558.082648,,5579.558658
28,5636.6,,4976.822402,2646.223411,,5528.972494,,3151.94672,4672.953181,,5581.904496
29,5639.1997,,4932.15519,2733.938265,,5529.716267,,2988.320556,4782.312569,,5584.210574
30,5642.1,,4886.201931,2821.05,,5530.484542,,2821.05,4886.201931,,5586.474761
31,5645.32,,4838.983706,2907.554745,,5531.277085,,2650.317203,4984.521705,,5588.695
32,5648.4,,4790.114866,2993.195972,,5532.093655,,2476.095586,5076.748291,,5590.869311
33,5650.88,,4739.226739,3077.68983,,5532.934002,,2298.419962,5162.335756,,5592.995791
34,5652.6997,,4686.300438,3160.949558,,5533.797872,,2117.538578,5241.091897,,5595.072616
35,5653.96,,4631.452892,3242.978228,,5534.685,,1933.76821,5312.98449,,5597.098047
36,5654.56,,4574.635136,3323.666976,,5535.595117,,1747.355136,5377.806135,,5599.070425
37,5654.36,,4515.772683,3402.878794,,5536.527945,,1558.552839,5435.319683,,5600.98818
38,5653.58,,4455.081836,3480.691404,,5537.4832,,1367.724791,5485.644512,,5602.849827
39,5652.6997,,4392.972743,3557.359186,,5538.460591,,1175.262352,5529.174649,,5604.653971
40,5652.32,,4329.928327,3633.241262,,5539.459821,,981.5150676,5566.448559,,5606.399307
41,5652.98,,4266.358163,3708.68857,,5540.480585,,786.7427563,5597.965587,,5608.084622
42,5655.2397,,4202.66212,3784.09397,,5541.522572,,591.1335153,5624.259705,,5609.708795
43,5659.36,,4138.993885,3859.674239,,5542.585465,,394.7769972,5645.574083,,5611.270799
44,5664.94,,4075.016809,3935.197989,,5543.668939,,197.7035548,5661.489072,,5612.769703
45,5671,,4010.002556,4010.002556,,5544.772666,,3.47391E-13,5671,,5614.20467
46,5676.9,,3943.506103,4083.620113,,5545.896308,,-198.1209528,5673.441786,,5615.57496
47,5682.38,,3875.373841,4155.829647,,5547.039524,,-396.3827913,5668.538008,,5616.879931
48,5687.26,,3805.519732,4226.45784,,5548.201965,,-594.480548,5656.104595,,5618.119038
49,5691.1597,,3733.736707,4295.172748,,5549.383278,,-792.0563435,5635.773725,,5619.291833
50,5693.78,,3659.891236,4361.688529,,5550.583101,,-988.714521,5607.278688,,5620.397966
51,5695.02,,3583.992213,4425.861793,,5551.80107,,-1184.061237,5570.570149,,5621.437186
52,5695,,3506.192102,4487.721242,,5553.036815,,-1377.745195,5525.834161,,5622.40934
53,5693.84,,3426.638451,4547.302813,,5554.289957,,-1569.435002,5473.270295,,5623.314373
54,5691.84,,3345.57961,4604.795289,,5555.560116,,-1758.875289,5413.261522,,5624.152327
55,5689.26,,3263.225476,4660.368959,,5556.846905,,-1945.841521,5346.15564,,5624.923341
56,5686.2197,,3179.693704,4714.089777,,5558.149932,,-2130.095391,5272.171099,,5625.627653
57,5682.6196,,3094.976455,4765.845807,,5559.4688,,-2311.32962,5191.331323,,5626.265594
58,5678.42,,3009.104148,4815.57327,,5560.803106,,-2489.255487,5103.730088,,5626.837593
59,5673.7397,,2922.191973,4863.344144,,5562.152446,,-2663.659444,5009.614811,,5627.344172
60,5668.88,,2834.44,4909.394091,,5563.516407,,-2834.44,4909.394091,,5627.785947
61,5664.04,,2745.981081,4953.881006,,5564.894574,,-3001.483909,4803.378339,,5628.163625
62,5659.26,,2656.861636,4996.829994,,5566.286528,,-3164.618031,4691.739173,,5628.478006
63,5654.48,,2567.080201,5038.178571,,5567.691844,,-3323.619953,4574.570414,,5628.729978
64,5649.56,,2476.604096,5077.790892,,5569.110095,,-3478.216445,4451.914033,,5628.92052
65,5644.38,,2385.418064,5115.545547,,5570.540848,,-3628.137528,4323.845934,,5629.050693
66,5638.76,,2293.490314,5151.263585,,5571.983667,,-3773.066898,4190.415316,,5629.121649
67,5632.5,,2200.793081,5184.743587,,5573.438113,,-3912.663272,4051.681425,,5629.134617
68,5625.34,,2107.289454,5215.724424,,5574.903744,,-4046.530952,3907.689518,,5629.090911
69,5616.96,,2012.938438,5243.883912,,5576.380111,,-4174.214759,3758.479851,,5628.991925
70,5607.1396,,1917.75469,5268.987706,,5577.866767,,-4295.318132,3604.199861,,5628.839127
71,5595.7397,,1821.794647,5290.875831,,5579.363258,,-4409.503058,3445.081359,,5628.634062
72,5582.98,,1725.235699,5309.729509,,5580.869127,,-4516.725699,3281.593308,,5628.378347
73,5569.48,,1628.358362,5326.120212,,5582.383917,,-4617.30818,3114.413692,,5628.073669
74,5556.02,,1531.446662,5340.789208,,5583.907166,,-4711.772183,2944.24203,,5627.721785
75,5543.12,,1434.665025,5354.242766,,5585.43841,,-4800.482736,2771.56,,5627.324515
76,5530.6396,,1337.982816,5366.355967,,5586.977183,,-4883.264922,2596.478016,,5626.883741
77,5517.92,,1241.261922,5376.496068,,5588.523015,,-4959.473644,2418.896918,,5626.401407
78,5504.1,,1144.366737,5383.822209,,5590.075437,,-5028.245553,2238.719157,,5625.879513
79,5488.6797,,1047.28946,5387.837195,,5591.633974,,-5089.015201,2056.095605,,5625.320113
80,5471.7397,,950.1576276,5388.611679,,5593.198153,,-5141.753419,1871.445196,,5624.725314
81,5453.8,,853.1622854,5386.654672,,5594.767496,,-5186.872029,1685.316884,,5624.097268
82,5435.56,,756.4837407,5382.661504,,5596.341527,,-5224.995624,1498.243386,,5623.438175
83,5417.7197,,660.2539426,5377.336839,,5597.919764,,-5256.790271,1310.66502,,5622.750276
84,5400.94,,564.5519584,5371.353086,,5599.501729,,-5282.916503,1122.918567,,5622.035852
85,5385.94,,469.4156011,5365.444872,,5601.086938,,-5304.115469,935.258666,,5621.297219
86,5373.58,,374.8419922,5360.490229,,5602.674909,,-5321.284689,747.8577919,,5620.536724
87,5364.94,,280.7792651,5357.587536,,5604.265158,,-5335.550297,560.7889337,,5619.756745
88,5361.2197,,187.1038692,5357.95379,,5605.857201,,-5348.160038,373.9797812,,5618.959686
89,5363.44,,93.60493478,5362.623122,,5607.450552,,-5360.172737,187.1813566,,5618.147972
90,5372.1597,,3.29085E-13,5372.1597,,5609.044727,,-5372.1597,6.58169E-13,,5617.324049
91,5387.6597,,-94.02762683,5386.839133,,5610.63924,,-5384.377683,-188.0266119,,5616.490376
92,5410,,-188.8062772,5406.704374,,5612.233605,,-5396.821512,-377.382523,,5615.649427
93,5438.36,,-284.621771,5430.906917,,5613.827337,,-5408.568095,-568.4634135,,5614.803683
94,5470.32,,-381.5902335,5456.994575,,5615.419949,,-5417.083222,-761.3213976,,5613.95563
95,5502.06,,-479.5361259,5481.123001,,5617.010958,,-5418.471346,-955.4226924,,5613.107757
96,5530.06,,-578.0486736,5499.765753,,5618.599878,,-5409.214921,-1149.764125,,5612.26255
97,5552.3,,-676.6551554,5510.913998,,5620.186224,,-5387.372961,-1343.222941,,5611.422493
98,5569.1,,-775.0689166,5514.901902,,5621.769515,,-5353.362511,-1535.051998,,5610.590056
99,5582.6396,,-873.3172393,5513.908043,,5623.349268,,-5309.40577,-1725.13051,,5609.767701
100,5595.4,,-971.6310133,5510.393301,,5624.925001,,-5257.95609,-1913.73951,,5608.957875
101,5608.6597,,-1070.182723,5505.612824,,5626.496235,,-5200.25872,-2101.040904,,5608.163002
102,5621.86,,-1168.850418,5499.008871,,5628.062491,,-5135.824667,-2286.616464,,5607.385487
103,5633.54,,-1267.270763,5489.152735,,5629.623291,,-5063.392212,-2469.58139,,5606.627709
104,5642.82,,-1365.121711,5475.20413,,5631.178161,,-4982.314336,-2649.143524,,5605.892017
105,5650.32,,-1462.410427,5457.790015,,5632.726627,,-4893.32066,-2825.16,,5605.180728
106,5657.38,,-1559.385264,5438.222693,,5634.268217,,-4797.730338,-2997.954647,,5604.496123
107,5664.86,,-1656.244775,5417.33256,,5635.802461,,-4696.381783,-3167.749511,,5603.840446
108,5672.52,,-1752.905081,5394.88711,,5637.328893,,-4589.165081,-3334.223599,,5603.215897
109,5679.62,,-1849.103401,5370.186212,,5638.847046,,-4475.601636,-3496.723228,,5602.624631
110,5685.8,,-1944.658131,5342.904303,,5640.35646,,-4355.575495,-3654.761791,,5602.068756
111,5691.2197,,-2039.550734,5313.211315,,5641.856673,,-4229.400471,-3808.169289,,5601.55033
112,5696.1396,,-2133.811451,5281.36867,,5643.34723,,-4097.459923,-3956.871052,,5601.071353
113,5700.9,,-2227.51909,5247.706119,,5644.827675,,-3960.177904,-4100.884268,,5600.633772
114,5705.82,,-2320.766073,5212.525943,,5646.297559,,-3817.938796,-4240.250608,,5600.239472
115,5711.06,,-2413.59825,5175.97815,,5647.756433,,-3670.998606,-4374.925777,,5599.890277
116,5716.3,,-2505.860986,5137.776407,,5649.203852,,-3519.305691,-4504.505871,,5599.587946
117,5720.94,,-2597.25241,5097.394864,,5650.639377,,-3362.684161,-4628.337684,,5599.334169
118,5724.7397,,-2687.602494,5054.645138,,5652.062569,,-3201.233814,-4746.024304,,5599.130567
119,5727.7197,,-2776.853613,5009.576527,,5653.472996,,-3035.229009,-4857.381787,,5598.978689
120,5729.96,,-2864.98,4962.290923,,5654.870227,,-2864.98,-4962.290923,,5598.880008
121,5731.32,,-2951.848019,4912.700094,,5656.253837,,-2690.691757,-5060.455198,,5598.835922
122,5731.9,,-3037.444231,4860.926882,,5657.623404,,-2512.699576,-5151.797594,,5598.847748
123,5731.9,,-3121.816485,4807.175828,,5658.978512,,-2331.373764,-5236.351209,,5598.916724
124,5731.4,,-3204.958207,4751.545943,,5660.318747,,-2147.02023,-5314.061544,,5599.044003
125,5730.32,,-3286.776525,4694.003342,,5661.643702,,-1959.884868,-5384.739419,,5599.230655
126,5728.7197,,-3367.256954,4634.631593,,5662.952972,,-1770.271743,-5448.336201,,5599.477663
127,5726.8,,-3446.474275,4573.625839,,5664.246159,,-1578.520009,-5504.95348,,5599.785924
128,5724.6196,,-3524.427749,4511.061805,,5665.522869,,-1384.910825,-5554.573932,,5600.156242
129,5722,,-3600.971278,4446.829191,,5666.782713,,-1189.670695,-5596.960571,,5600.589333
130,5718.88,,-3676.025205,4380.916245,,5668.025308,,-993.0730903,-5631.997363,,5601.085821
131,5715.48,,-3749.692259,4313.527512,,5669.250274,,-795.4410751,-5659.857342,,5601.646237
132,5711.78,,-3821.926815,4244.679751,,5670.457239,,-597.0435859,-5680.490272,,5602.271016
133,5707.48,,-3892.492,4174.186625,,5671.645835,,-398.1336788,-5693.576866,,5602.9605
134,5702.46,,-3961.261571,4102.006438,,5672.815699,,-199.012984,-5698.986215,,5603.714936
135,5696.88,,-4028.30248,4028.30248,,5673.966477,,-1.04693E-12,-5696.88,,5604.534473
136,5690.84,,-4093.647709,3953.189641,,5675.097816,,198.6074518,-5687.373294,,5605.419164
137,5684.08,,-4157.072948,3876.533238,,5676.209373,,396.5013773,-5670.233867,,5606.368966
138,5676.44,,-4218.417013,3798.279739,,5677.300808,,593.34955,-5645.343868,,5607.383736
139,5668.1997,,-4277.844616,3718.673591,,5678.371791,,788.8609291,-5613.03717,,5608.463236
140,5659.6396,,-4335.535466,3637.94621,,5679.421993,,982.7861028,-5573.656957,,5609.607128
141,5650.7397,,-4391.449537,3556.125718,,5680.451095,,1174.854845,-5527.25748,,5610.81498
142,5641.48,,-4445.546906,3473.2419,,5681.458784,,1364.797536,-5473.903934,,5612.086259
143,5632.08,,-4497.979083,3389.470356,,5682.444753,,1552.411639,-5413.902772,,5613.420338
144,5622.94,,-4549.054018,3305.081207,,5683.408702,,1737.584018,-5347.733728,,5614.816491
145,5614.1997,,-4598.883161,3220.172657,,5684.350336,,1920.169386,-5275.62203,,5616.2739
146,5606.06,,-4647.634374,3134.868968,,5685.269369,,2100.067039,-5197.84832,,5617.791648
147,5598.9,,-4695.632643,3049.379493,,5686.165522,,2277.277791,-5114.849663,,5619.368727
148,5592.92,,-4743.065158,2963.796051,,5687.03852,,2451.774754,-5026.883197,,5621.004033
149,5587.86,,-4789.730873,2877.960657,,5687.888099,,2623.341367,-4933.787536,,5622.696373
150,5583.52,,-4835.470163,2791.76,,5688.713999,,2791.76,-4835.470163,,5624.44446
